Program,SamplePoint,Description,Latitude,Longitude,SampleDate,sampleDateStart,sampleDateEnd,evaluationCode,speciesCode,speciesName,vegCommunity,abundance,breedEvidence,propSurveyed(number),Comments
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-14 19:00,2016-01-14 19:00,2016-01-14 19:20,E3,179,"Threskiornis molucca (Cuvier, 1829)",Black box woodland,8,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-14 19:00,2016-01-14 19:00,2016-01-14 19:20,E3,181,"Platalea (Platalea) regia Gould, 1838",Black box woodland,6,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-15 9:30,2016-01-15 9:30,2016-01-15 9:50,E3,179,"Threskiornis molucca (Cuvier, 1829)",Black box woodland,11,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-01-15 9:30,2016-01-15 9:30,2016-01-15 9:50,E3,208,"Anas (Anas) superciliosa Gmelin, 1789",Black box woodland,50,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-03-15 16:00,2016-03-15 16:00,2016-03-15 16:20,E3,188,"Egretta novaehollandiae (Latham, 1790)",Black box woodland,1,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-03-16 7:10,2016-03-16 7:10,2016-03-16 7:30,E3,179,"Threskiornis molucca (Cuvier, 1829)",Black box woodland,2,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-03-16 7:10,2016-03-16 7:10,2016-03-16 7:30,E3,182,"Platalea (Platibis) flavipes Gould, 1838",Black box woodland,2,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-03-16 7:10,2016-03-16 7:10,2016-03-16 7:30,E3,188,"Egretta novaehollandiae (Latham, 1790)",Black box woodland,1,FALSE,0.32,
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,208,"Anas (Anas) superciliosa Gmelin, 1789",Black box woodland,2,FALSE,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1"
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-17 17:55,2016-10-17 17:55,2016-10-17 18:36,E3,211,"Anas (Nettion) gracilis Buller, 1869",Black box woodland,22,FALSE,0.32,"Bird point 1 - Wetland, Bird point 2 - dam, Bird point 3 - open wetland out the back near veg transect 1"
