source_id,program,site_name,latitude,longitude,survey_date,year,month,water_year,survey_type,scientific_name,common_name,functional_group,species_code,abundance,nest_count,brood_count,prop_surveyed,percent_full,breeding_evidence,veg_community,mdb_scope
S4,EAWS,Lochinvar Irrigation Dam,-30.46056,147.6144,2016-01-01,2016,,2017,aerial,Phalacrocorax varius,Pied cormorant,Pi,PCO,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Norwood Tank,-30.46944,148.4583,1992-01-01,1992,,1993,aerial,Cygnus atratus,Black swan,He,BSW,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.5,147.85,1986-01-01,1986,,1987,aerial,Anas superciliosa,Pacific black duck,Du,BDU,1.0,0.0,0.0,,50.0,False,,True
S4,EAWS,,-30.47833,148.3967,1996-01-01,1996,,1997,aerial,Anas gracilis,Grey teal,Du,GTL,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Merrah Dam,-30.55917,148.2928,2012-01-01,2012,,2013,aerial,Phalacrocorax carbo,Great cormorant,Pi,GRC,1.0,0.0,0.0,0.65,65.0,False,,True
S4,EAWS,,-30.56667,148.0,1990-01-01,1990,,1991,aerial,Cygnus atratus,Black swan,He,BSW,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Nedgera Creek Lake,-30.49444,147.9845,1999-01-01,1999,,2000,aerial,Platalea regia,Royal spoonbill,La,RSB,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.45,148.2733,1996-01-01,1996,,1997,aerial,Platalea regia,Royal spoonbill,La,RSB,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Nedgera Creek Lake,-30.49444,147.9845,1996-01-01,1996,,1997,aerial,Platalea regia,Royal spoonbill,La,RSB,1.0,0.0,0.0,0.7999999996666667,80.0,False,,True
S4,EAWS,Merrah Dam,-30.55917,148.2928,1992-01-01,1992,,1993,aerial,Platalea regia,Royal spoonbill,La,RSB,1.0,0.0,0.0,0.6,60.0,False,,True
S4,EAWS,,-30.43222,147.3833333,1993-01-01,1993,,1994,aerial,Anas gracilis,Grey teal,Du,GTL,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,Gidginbill Dam,-30.445,148.2183,1993-01-01,1993,,1994,aerial,Anas gracilis,Grey teal,Du,GTL,1.0,0.0,0.0,,,False,,True
S4,EAWS,,-30.56667,148.2,1992-01-01,1992,,1993,aerial,Anas gracilis,Grey teal,Du,GTL,1.0,0.0,0.0,0.8,80.0,False,,True
S4,EAWS,Lochinvar Irrigation Dam,-30.46944,147.6458,1984-01-01,1984,,1985,aerial,Cygnus atratus,Black swan,He,BSW,1.0,0.0,0.0,,,False,,True
S4,EAWS,Teridgerie Creek Waterhole,-30.57139,148.4233,2018-01-01,2018,,2019,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,0.05,5.0,False,,True
S4,EAWS,Mowima Creek Swamp N,-30.44361,148.1142,1983-01-01,1983,,1984,aerial,Cygnus atratus,Black swan,He,BSW,1.0,0.0,0.0,,,False,,True
S4,EAWS,Nedgera Creek L,-30.49444,147.9845,2005-01-01,2005,,2006,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.75,75.0,False,,True
S4,EAWS,Mowima Creek Sw,-30.44361,148.1142,2005-01-01,2005,,2006,aerial,Ardea pacifica,Pacific heron,La,WNH,1.0,0.0,0.0,0.1,10.0,False,,True
S4,EAWS,Macquarie River,-32.42111,148.7519,2019-01-01,2019,,2020,aerial,Elseyornis melanops,Black fronted dotterel,Sh,BFP,1.0,0.0,0.0,0.05,5.0,False,,True
S4,EAWS,Gidgenbar Tank,-30.55333,148.4386,1983-01-01,1983,,1984,aerial,Anas superciliosa,Pacific black duck,Du,BDU,1.0,0.0,0.0,,,False,,True
S4,EAWS,Macquarie River,-32.42111,148.7519,1989-01-01,1989,,1990,aerial,Anas gracilis,Grey teal,Du,GTL,1.0,0.0,0.0,0.8500000254810192,85.00000254,False,,True
S4,EAWS,Nedgera Creek L,-30.49444,147.9845,2011-01-01,2011,,2012,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.4,40.0,False,,True
S4,EAWS,,-30.56966667,147.9415,2012-01-01,2012,,2013,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,,50.0,False,,True
S4,EAWS,,-30.54066667,147.2971667,2013-01-01,2013,,2014,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,,60.0,False,,True
S4,EAWS,,-30.53666667,147.5803333,2015-01-01,2015,,2016,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.6,60.0,False,,True
S4,EAWS,Nedgera Creek Lake,-30.49444,147.9845,1987-01-01,1987,,1988,aerial,Anas gracilis,Grey teal,Du,GTL,1.0,0.0,0.0,1.0,100.0,False,,True
S4,NAT,Macquarie River D,-32.17194,148.4006,2008-01-01,2008,,2009,aerial,Phalacrocorax varius,Pied cormorant,Pi,PCO,1.0,0.0,0.0,,100.0,False,,True
S4,EAWS,Teridgerie Creek Waterhole,-30.57139,148.4233,1997-01-01,1997,,1998,aerial,Ardea alba,Great egret,La,LGE,1.0,0.0,0.0,0.4,40.0,False,,True
S4,EAWS,,-30.5,147.85,1984-01-01,1984,,1985,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,1.0,100.0,False,,True
S4,EAWS,,-30.5,148.35,1984-01-01,1984,,1985,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.85,85.0,False,,True
S4,EAWS,,-30.5,147.25,1986-01-01,1986,,1987,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,,10.0,False,,True
S4,EAWS,Merrah Dam,-30.55917,148.2928,1986-01-01,1986,,1987,aerial,Platalea flavipes,Yellow-billed spoonbill,La,YSB,1.0,0.0,0.0,0.8994999695,89.94999695,False,,True
