cluster_id,region,centroid_lat,centroid_lon,multi_source,has_breeding,habitat_tier,total_abundance,n_points,n_species,n_years,extent_km,urban_fraction_pct,n_sources,sources,predicted_suitability,suitability_tier
141,Southern Basin,-32.475010902600026,142.95862266771738,False,False,Candidate,677.0,5,16,8,11.22,0.0040482700296352,1,S4,0.14767518371746852,Low
145,Southern Basin,-32.41500621274557,143.4669391888487,False,False,Candidate,652.0,4,4,1,5.42,0.0,1,S4,0.08568905418870106,Low
163,Northern Basin,-30.61211383769263,147.66400099160998,False,False,Candidate,645.0,3,7,1,7.38,0.0019762960724021,1,S4,0.18515988413220386,Moderate
252,Northern Basin,-26.55479611795656,150.30678984303984,False,False,Candidate,586.0,65,9,8,53.11,0.0684742838322517,1,S4,0.1796693588482466,Moderate
222,Northern Basin,-28.56802457044159,147.22794392194368,False,False,Candidate,543.0,4,5,5,3.61,0.0,1,S4,0.09473449824831436,Low
216,Northern Basin,-28.57924731430088,147.99956567347732,False,False,Candidate,502.0,11,9,3,19.33,0.0337056346643308,1,S4,0.21039910244880683,High
124,Southern Basin,-32.62425656385572,143.85926515832296,False,False,Candidate,495.0,4,7,5,2.1,0.0,1,S4,0.11007172882816417,Low
125,Southern Basin,-32.58944653407655,144.52851136939665,False,False,Candidate,482.0,7,15,13,9.59,0.0,1,S4,0.07647933066672957,Low
221,Northern Basin,-28.579260432041316,145.8425649844291,False,False,Candidate,481.0,3,6,7,3.87,0.0,1,S4,0.1784780126032654,Moderate
155,Northern Basin,-32.16694424445423,148.39519928583692,False,False,Candidate,404.0,3,16,1,4.48,0.2661525229571294,1,S4,0.21897603490445894,High
123,Southern Basin,-32.588238972078784,144.37017107166088,False,False,Candidate,380.0,9,6,6,13.44,0.0,1,S4,0.08720209208715358,Low
140,Northern Basin,-32.502567451714,149.58120216330903,False,False,Candidate,361.0,14,5,3,18.9,0.447645443034713,1,S4,0.18667857548600558,Moderate
70,Southern Basin,-34.5211152863588,140.4888847058167,False,False,Candidate,343.0,4,4,1,8.39,0.024463336553673,1,S4,0.1275631996619777,Low
230,Northern Basin,-28.47563010476348,147.49078485205155,False,False,Candidate,341.0,19,5,2,16.96,0.0,1,S4,0.12033179171599123,Low
18,Southern Basin,-36.502567636405146,145.59094782088025,False,False,Candidate,336.0,8,13,3,9.25,0.1612305398919148,1,S4,0.1925222755972163,Moderate
254,Northern Basin,-26.60470588975841,150.3321624995054,False,False,Candidate,318.0,6,13,9,3.08,0.0346370378017181,1,S4,0.19432307181225245,Moderate
185,Northern Basin,-30.47444798698685,143.52777516558024,False,False,Candidate,317.0,5,4,2,6.4,0.0,1,S4,0.043484907228276005,Low
229,Northern Basin,-28.49825003631421,146.37267678350747,False,False,Candidate,298.0,16,9,17,20.26,0.0053974913730096,1,S4,0.16171890411989492,Low
28,Southern Basin,-36.36946887327191,146.7391313073495,False,False,Candidate,259.0,10,14,18,6.78,0.5868585438313829,1,S4,0.19437781736153031,Moderate
173,Northern Basin,-30.51580809939653,146.6540832294005,False,False,Candidate,254.0,7,9,8,10.55,0.0,1,S4,0.1602368884641116,Low
260,Northern Basin,-26.522538392696838,146.39848440964175,False,False,Candidate,252.0,22,12,19,27.73,0.0007891171628615004,1,S4,0.11309749190097693,Low
119,Northern Basin,-32.687730900634314,148.1423451783925,False,False,Candidate,245.0,7,6,1,16.22,0.0992858718508123,1,S4,0.16847869426348672,Low
241,Northern Basin,-28.41645608350921,147.2836122991367,False,False,Candidate,239.0,11,5,9,11.14,0.0,1,S4,0.08947246652355689,Low
269,Northern Basin,-26.476018026401192,145.4390660729698,False,False,Candidate,227.0,3,4,5,5.0,0.0,1,S4,0.12078023365396469,Low
5,Wimmera Disconnected,-36.60120303968699,142.36990259053402,False,False,Candidate,178.0,5,6,1,4.6,3.415065569599953,1,S4,0.1938886366198701,Moderate
257,Northern Basin,-26.534164343599237,146.6221378363626,False,False,Candidate,168.0,6,11,16,10.23,0.0,1,S4,0.12749266906089274,Low
76,Wimmera Disconnected,-34.37277769793414,142.15832206916878,False,False,Candidate,161.0,4,5,1,7.9,0.2469245896948201,1,S4,0.1517811845246965,Low
262,Northern Basin,-26.51139125839757,151.16667794631593,False,False,Candidate,159.0,4,8,1,4.44,0.019020212892124,1,S4,0.18435918590482858,Moderate
213,Northern Basin,-28.65698109840045,144.86712220129672,False,False,Candidate,153.0,5,4,1,4.72,0.0,1,S4,0.08509504123170568,Low
168,Northern Basin,-30.583057090057604,150.4383876130912,False,False,Candidate,150.0,3,2,1,2.84,0.0,1,S4,0.18942327779745535,Moderate
133,Lachlan Disconnected,-32.56249524244031,145.01788991814624,False,False,Candidate,134.0,3,6,1,3.69,0.0,1,S4,0.12953601090676756,Low
118,Northern Basin,-32.90435339261042,148.09016665095928,False,False,Candidate,111.0,3,8,1,7.19,0.2893944083512885,1,S4,0.19259324062014066,Moderate
190,Northern Basin,-30.118680245620524,144.96542048781555,False,False,Candidate,108.0,4,4,1,11.69,0.0,1,S4,0.07297784298957315,Low
77,Southern Basin,-34.36881908193087,147.05504702990947,False,False,Candidate,101.0,11,3,2,12.5,0.2271993465135791,1,S4,0.16034264091397138,Low
19,Wimmera Disconnected,-36.4913335280862,142.4446228221447,False,False,Candidate,98.0,5,3,2,7.83,0.2731479570792141,1,S4,0.19387598465854683,Moderate
79,Southern Basin,-34.36833133099326,144.9238997116025,False,False,Candidate,94.0,3,2,1,1.63,0.0,1,S4,0.18262617797615527,Moderate
182,Northern Basin,-30.4708500825012,146.4287229690581,False,False,Candidate,93.0,12,5,12,18.98,0.0051992938647383,1,S4,0.08317791959999404,Low
233,Northern Basin,-28.499946344234672,150.44594625036098,False,False,Candidate,79.0,4,4,2,5.94,0.6130298362281372,1,S4,0.20242799128205127,Moderate
122,Southern Basin,-32.63517602988736,143.9701445241063,False,False,Candidate,75.0,4,1,2,4.49,0.0,1,S4,0.09412822460385553,Low
134,Lachlan Disconnected,-32.56915622927274,146.94621877104103,False,False,Candidate,71.0,6,3,1,13.0,0.0381903932427325,1,S4,0.1650828243755793,Low
183,Northern Basin,-30.47827269431488,149.1392374151787,False,False,Candidate,67.0,5,5,1,7.31,0.0078240354183958,1,S4,0.16881416390536663,Low
176,Northern Basin,-30.517825031413864,149.40270592097278,False,False,Candidate,66.0,10,4,2,13.56,0.0,1,S4,0.18688460809888555,Moderate
146,Southern Basin,-32.42870986650814,143.6546416956674,False,False,Candidate,65.0,3,5,5,5.67,0.0,1,S4,0.10603706271040121,Low
259,Northern Basin,-26.520293411675848,146.75087955841877,False,False,Candidate,60.0,9,5,2,12.0,0.0,1,S4,0.15617928707184237,Low
11,Southern Basin,-36.56082144730341,144.25571243014852,False,False,Candidate,59.0,5,3,2,8.57,0.3155024228901608,1,S4,0.16918380097514665,Low
238,Northern Basin,-28.45845852064964,144.4832267740213,False,False,Candidate,59.0,8,2,6,10.87,0.0,1,S4,0.04665885523475694,Low
13,Southern Basin,-36.5244469637071,146.23279271838294,False,False,Candidate,58.0,3,6,5,5.04,0.5735677532359581,1,S4,0.18579755788597077,Moderate
174,Northern Basin,-30.486175402933068,150.4665307365819,False,False,Candidate,54.0,12,2,1,13.03,0.1316266760075631,1,S4,0.18820059081263993,Moderate
248,Northern Basin,-28.423426392383984,146.98332211066105,False,False,Candidate,38.0,3,2,1,6.69,0.0,1,S4,0.16250354023050395,Low
15,Wimmera Disconnected,-36.50691865110461,143.5037033410514,False,False,Candidate,36.0,5,5,3,9.09,0.2369919800657965,1,S4,0.16496657158587824,Low
162,Northern Basin,-30.62389535002289,147.10653832012588,False,False,Candidate,31.0,5,2,1,11.27,0.0,1,S4,0.16464112210038623,Low
265,Northern Basin,-26.491825160226817,148.9234931442528,False,False,Candidate,29.0,4,4,4,5.65,0.0329690362568896,1,S4,0.2011014946660958,Moderate
267,Northern Basin,-26.49125804104311,144.99525430652986,False,False,Candidate,27.0,3,2,12,5.37,0.0,1,S4,0.12294215726973233,Low
255,Northern Basin,-26.570200864131834,145.84976791615148,False,False,Candidate,25.0,6,3,1,5.7,0.0195681083999878,1,S4,0.11461752651480478,Low
239,Northern Basin,-28.451562643177837,148.59583480811537,False,False,Candidate,25.0,10,3,2,15.94,0.0109223889622273,1,S4,0.19440426482372725,Moderate
14,Southern Basin,-36.51944682566375,146.93333415569066,False,False,Candidate,23.0,3,5,1,5.04,0.0,1,S4,0.17148525136936776,Moderate
