cluster_id,centroid_lat,centroid_lon,n_points,n_sources,sources,multi_source,total_abundance,n_species,n_years,has_breeding,lat_min,lat_max,lon_min,lon_max,extent_km,habitat_tier
42,-35.85673625,145.3549875,8,2,"S3,S4",True,6512.0,15,3,True,-35.86917,-35.84139,145.3033,145.3944,8.76,Priority
112,-33.330833999999996,147.25356000000002,5,2,"S3,S4",True,6448.0,32,4,False,-33.37972,-33.29861,147.2336,147.2725,9.7,Priority
156,-31.466620000000002,142.1436666666667,6,1,S4,False,6040.0,18,1,False,-31.50056,-31.43389,142.1089,142.1939,10.93,Candidate
195,-29.661199999999997,149.29250000000002,3,1,S4,False,5966.0,17,2,False,-29.66444,-29.65861,149.2614,149.3197,5.66,Candidate
10,-36.546471550465114,146.63363565581395,43,1,S4,False,5665.0,21,18,True,-36.59306,-36.48133333,146.35,146.9666667,56.37,Breeding confirmed
231,-28.454479743076924,148.82204873846155,13,1,S4,False,5528.0,19,25,True,-28.51972,-28.404,148.8015,148.864167,14.23,Breeding confirmed
171,-30.564112,148.04672666000002,5,1,S4,False,5090.0,19,4,False,-30.57167,-30.55694,148.0,148.0833333,8.13,Candidate
242,-28.420954666,150.21732,5,1,S4,False,5014.0,17,7,True,-28.45,-28.39333,150.1833333,150.2666667,10.28,Breeding confirmed
165,-30.47421006273585,151.18776604056603,106,1,S4,False,4996.0,16,10,True,-30.615,-30.41111,150.8963333,151.5338333,65.05,Breeding confirmed
196,-29.562269000000004,149.2758447894737,19,2,"S1,S3,S4",True,4474.0,43,10,True,-29.610821,-29.52083,149.229545,149.317279,13.1,Priority
226,-28.535803333636363,145.44696969999998,22,1,S4,False,4440.0,16,18,True,-28.55028,-28.5,145.3317,145.5364,20.73,Breeding confirmed
148,-32.40018666666666,142.77266666666665,3,1,S4,False,4419.0,26,10,False,-32.40278,-32.395,142.75,142.7933,4.15,Candidate
0,-36.61599135814815,141.97001234814815,27,1,S4,False,4266.0,21,23,False,-36.6565,-36.57167,141.9125,142.0236667,13.67,Candidate
223,-28.56385714285714,144.9010619,7,1,S4,False,4121.0,21,11,False,-28.575,-28.55083,144.8738333,144.935,6.54,Candidate
43,-35.843136,144.383117,16,2,"S3,S4",True,4118.0,11,3,False,-35.8554,-35.805,144.336,144.4055,8.39,Priority
244,-28.44220111,149.64583333333334,3,1,S4,False,3935.0,17,17,False,-28.44833,-28.43694,149.63,149.657,2.92,Candidate
24,-36.41025159347826,149.15363478695653,23,1,S4,False,3900.0,14,12,True,-36.45433333,-36.35,149.0333333,149.2411667,21.88,Breeding confirmed
217,-28.531840292105265,148.16483977192982,57,1,S4,False,3694.0,12,9,False,-28.61116667,-28.47,148.05,148.25,25.02,Candidate
88,-34.18409875,144.14965,8,2,"S3,S4",True,3654.0,12,3,False,-34.19361,-34.17944,144.1111,144.2264,10.7,Priority
189,-30.145359012500002,145.421781175,8,1,S1,False,3642.0,47,10,True,-30.195997,-30.099387,145.4163,145.435108,10.87,Breeding confirmed
82,-34.290063333333336,139.63536666666667,3,2,"S3,S4",True,3607.0,25,8,False,-34.2925,-34.2888,139.635,139.6361,0.42,Priority
207,-29.320863333333335,149.261199,3,1,"S1,S4",False,3576.0,34,7,True,-29.331295,-29.3,149.2519,149.26585,3.73,Breeding confirmed
203,-29.414009818181817,149.5557139090909,11,2,"S1,S3,S4",True,3560.0,24,11,False,-29.45417,-29.38972,149.5275,149.5783,8.68,Priority
3,-36.57550269857143,143.90121904761904,21,1,S4,False,3275.0,24,29,False,-36.63111,-36.5,143.8333333,143.9572,18.27,Candidate
