cluster_id,region,centroid_lat,centroid_lon,n_points,n_sources,sources,multi_source,total_abundance,n_species,n_years,has_breeding,extent_km,habitat_tier,urban_fraction_pct,is_urban
24,Southern Basin,,,23,1,S4,,,14,12,,21.88,,0.05578708771287865,0
69,Lachlan Disconnected,,,160,1,S4,,,12,12,,55.54,,0.23639411570320515,0
26,Wimmera Disconnected,,,11,1,S4,,,19,23,,15.49,,0.3013384621401199,0
186,Northern Basin,,,63,1,S4,,,11,26,,42.31,,0.1614855587110129,0
271,Northern Basin,,,7,1,S4,,,25,7,,12.03,,0.06278961848983823,0
234,Northern Basin,,,6,1,S4,,,17,8,,6.56,,0.0037577210362346094,0
4,Southern Basin,,,10,1,S4,,,17,11,,10.73,,1.7431294693922226,0
130,Southern Basin,,,14,1,S4,,,16,15,,17.55,,0.0028836858200098725,0
218,Northern Basin,,,56,1,S4,,,12,16,,34.15,,0.0,0
180,Northern Basin,,,29,1,S4,,,11,7,,30.78,,0.014255597082870577,0
258,Northern Basin,,,41,1,S4,,,12,18,,24.26,,0.07534347296313895,0
166,Northern Basin,,,21,1,S4,,,15,15,,27.99,,0.009657180806714067,0
179,Northern Basin,,,5,1,S3,,,23,3,,4.43,,0.0,0
120,Northern Basin,,,3,1,S3,,,13,1,,0.75,,0.0,0
49,Southern Basin,,,3,1,S3,,,0,2,,0.01,,0.0,0
65,Southern Basin,,,78,1,"S3,S4",,,25,15,,47.8,,0.022645039664795395,0
100,Lachlan Disconnected,,,13,1,"S3,S4",,,36,4,,12.1,,4.162976786343543E-4,0
104,Lachlan Disconnected,,,3,1,"S3,S4",,,12,1,,0.66,,0.0,0
151,Southern Basin,,,3,1,"S3,S4",,,8,8,,2.97,,0.0,0
147,Southern Basin,,,4,1,S4,,,29,24,,7.68,,0.0,0
245,Northern Basin,,,3,1,S4,,,12,9,,2.63,,0.0,0
144,Northern Basin,,,3,1,S4,,,23,35,,6.57,,0.19821086838124638,0
156,Southern Basin,,,6,1,S4,,,18,1,,10.93,,0.0054861550959711385,0
195,Northern Basin,,,3,1,S4,,,17,2,,5.66,,0.06336247903835618,0
171,Northern Basin,,,5,1,S4,,,19,4,,8.13,,0.0,0
148,Southern Basin,,,3,1,S4,,,26,10,,4.15,,0.0,0
0,Wimmera Disconnected,,,27,1,S4,,,21,23,,13.67,,0.0777653853162534,0
223,Northern Basin,,,7,1,S4,,,21,11,,6.54,,0.0,0
244,Northern Basin,,,3,1,S4,,,17,17,,2.92,,0.0,0
217,Northern Basin,,,57,1,S4,,,12,9,,25.02,,0.19405314279213745,0
3,Southern Basin,,,21,1,S4,,,24,29,,18.27,,1.704692894294134,0
235,Northern Basin,,,16,1,S4,,,6,11,,14.77,,0.0010474145106780023,0
251,Northern Basin,,,58,1,S4,,,18,14,,36.1,,0.059688233115327435,0
68,Southern Basin,,,24,1,S4,,,10,7,,17.32,,8.877799615849534E-4,0
132,Lachlan Disconnected,,,46,1,S4,,,13,14,,51.68,,7.376699903274363E-4,0
126,Southern Basin,,,6,1,S4,,,8,1,,6.22,,0.0,0
131,Southern Basin,,,29,1,S4,,,13,10,,27.22,,0.0032154247992991943,0
175,Northern Basin,,,11,1,S4,,,14,9,,16.47,,0.0022919707624075893,0
236,Northern Basin,,,5,1,S4,,,16,8,,6.51,,0.16419171249922487,0
135,Lachlan Disconnected,,,47,1,S4,,,18,22,,53.07,,0.02605304980638836,0
263,Northern Basin,,,12,1,S4,,,19,17,,11.65,,0.06148874436658769,0
177,Northern Basin,,,6,1,S4,,,8,5,,4.13,,0.0,0
153,Northern Basin,,,8,1,S4,,,14,1,,13.98,,0.042016221353499854,0
227,Northern Basin,,,23,1,S4,,,17,25,,24.0,,5.801228877725633E-4,0
191,Northern Basin,,,3,1,S4,,,18,1,,6.06,,0.0,0
71,Southern Basin,,,7,1,S4,,,9,5,,12.56,,0.28784419894895436,0
89,Lachlan Disconnected,,,3,1,S4,,,11,1,,1.42,,0.0,0
83,Southern Basin,,,3,1,S4,,,14,1,,4.41,,0.31053621903809825,0
2,Wimmera Disconnected,,,10,1,S4,,,17,13,,18.24,,0.30012907420979373,0
141,Southern Basin,,,5,1,S4,,,16,8,,11.22,,0.004048270029635262,0
145,Southern Basin,,,4,1,S4,,,4,1,,5.42,,0.0,0
163,Northern Basin,,,3,1,S4,,,7,1,,7.38,,0.0019762960724021865,0
252,Northern Basin,,,65,1,S4,,,9,8,,53.11,,0.06847428383225172,0
222,Northern Basin,,,4,1,S4,,,5,5,,3.61,,0.0,0
216,Northern Basin,,,11,1,S4,,,9,3,,19.33,,0.03370563466433089,0
124,Southern Basin,,,4,1,S4,,,7,5,,2.1,,0.0,0
125,Southern Basin,,,7,1,S4,,,15,13,,9.59,,0.0,0
221,Northern Basin,,,3,1,S4,,,6,7,,3.87,,0.0,0
155,Northern Basin,,,3,1,S4,,,16,1,,4.48,,0.26615252295712943,0
123,Southern Basin,,,9,1,S4,,,6,6,,13.44,,0.0,0
140,Northern Basin,,,14,1,S4,,,5,3,,18.9,,0.447645443034713,0
70,Southern Basin,,,4,1,S4,,,4,1,,8.39,,0.02446333655367304,0
230,Northern Basin,,,19,1,S4,,,5,2,,16.96,,0.0,0
18,Southern Basin,,,8,1,S4,,,13,3,,9.25,,0.16123053989191488,0
254,Northern Basin,,,6,1,S4,,,13,9,,3.08,,0.034637037801718194,0
185,Northern Basin,,,5,1,S4,,,4,2,,6.4,,0.0,0
229,Northern Basin,,,16,1,S4,,,9,17,,20.26,,0.005397491373009622,0
28,Southern Basin,,,10,1,S4,,,14,18,,6.78,,0.5868585438313829,0
173,Northern Basin,,,7,1,S4,,,9,8,,10.55,,0.0,0
260,Northern Basin,,,22,1,S4,,,12,19,,27.73,,7.891171628615004E-4,0
119,Northern Basin,,,7,1,S4,,,6,1,,16.22,,0.09928587185081238,0
241,Northern Basin,,,11,1,S4,,,5,9,,11.14,,0.0,0
269,Northern Basin,,,3,1,S4,,,4,5,,5.0,,0.0,0
5,Wimmera Disconnected,,,5,1,S4,,,6,1,,4.6,,3.415065569599953,0
257,Northern Basin,,,6,1,S4,,,11,16,,10.23,,0.0,0
76,Wimmera Disconnected,,,4,1,S4,,,5,1,,7.9,,0.24692458969482012,0
262,Northern Basin,,,4,1,S4,,,8,1,,4.44,,0.01902021289212407,0
213,Northern Basin,,,5,1,S4,,,4,1,,4.72,,0.0,0
168,Northern Basin,,,3,1,S4,,,2,1,,2.84,,0.0,0
133,Lachlan Disconnected,,,3,1,S4,,,6,1,,3.69,,0.0,0
118,Northern Basin,,,3,1,S4,,,8,1,,7.19,,0.28939440835128855,0
190,Northern Basin,,,4,1,S4,,,4,1,,11.69,,0.0,0
77,Southern Basin,,,11,1,S4,,,3,2,,12.5,,0.2271993465135791,0
19,Wimmera Disconnected,,,5,1,S4,,,3,2,,7.83,,0.27314795707921413,0
79,Southern Basin,,,3,1,S4,,,2,1,,1.63,,0.0,0
