cluster_id,region,year,NDVI,NDWI,EVI,habitat_score,n_images,centroid_lat,centroid_lon,multi_source,has_breeding,habitat_tier,urban_fraction_pct,n_points,n_species,n_years,total_abundance,extent_km
130,Southern Basin,2018,0.24300774912635487,-0.4935284591873861,0.13751720383970428,-0.1989139758618897,3023,-32.519833742305515,144.67726564785156,,,,0.0028836858200098725,14,16,15,,17.55
218,Northern Basin,2018,0.1652776130861042,-0.4740848037047746,0.09524857593365087,-0.21833983698842307,3023,-28.52963857862867,144.30285502883092,,,,0.0,56,12,16,,34.15
180,Northern Basin,2018,0.2583553542690679,-0.5265347313152648,0.13913505322828637,-0.2125786970815317,3023,-30.450460583200908,146.0595263889263,,,,0.014255597082870577,29,11,7,,30.78
258,Northern Basin,2018,0.19205241494934835,-0.41937709164741427,0.11036337615074304,-0.17480528900870917,3023,-26.526727155273665,146.0250584696488,,,,0.07534347296313895,41,12,18,,24.26
166,Northern Basin,2018,0.3963796706600698,-0.49085405212267597,0.1979384994852706,-0.13596056300957762,3023,-30.550851808383772,148.96649108234305,,,,0.009657180806714067,21,15,15,,27.99
179,Northern Basin,2018,0.16925446064500246,-0.4327498089567363,0.11114726563409484,-0.19194810111604077,3023,-30.506479133440312,145.12518115376255,,,,0.0,5,23,3,,4.43
120,Northern Basin,2018,0.4214105676859619,-0.5129233304411173,0.24288032678631344,-0.13918977119028558,3023,-32.68652022293247,149.1856022122552,,,,0.0,3,13,1,,0.75
49,Southern Basin,2018,0.2628762423992157,-0.3895470201969147,0.15667624074011985,-0.1285777151584625,3023,-35.70771723361596,139.25095993941153,,,,0.0,3,0,2,,0.01
65,Southern Basin,2018,0.22617901128825266,-0.34269641699281295,0.13650507226050201,-0.1151462456803867,3023,-34.53050005412377,144.56435599096173,,,,0.022645039664795395,78,25,15,,47.8
100,Lachlan Disconnected,2018,0.18520957927976942,-0.30313039218200055,0.12176131039972814,-0.10779440359729256,3023,-33.84685971288495,144.49282366349271,,,,4.162976786343543E-4,13,36,4,,12.1
104,Lachlan Disconnected,2018,0.32277805281991523,-0.38730142768709286,0.19317338223973776,-0.1032696354842896,3023,-33.76817329543256,144.62953355992758,,,,0.0,3,12,1,,0.66
151,Southern Basin,2018,0.13516197765492782,-0.3100259741440595,0.10446988855837282,-0.13195079342446459,3023,-32.34074408225644,143.07160111210797,,,,0.0,3,8,8,,2.97
147,Southern Basin,2018,0.1426645137642784,-0.307092464309375,0.1142688163379751,-0.12718967307991363,3023,-32.403176623269,142.6338896383468,,,,0.0,4,29,24,,7.68
245,Northern Basin,2018,0.23293058718932258,-0.3848350566837036,0.14559915139628138,-0.13772879913449312,3023,-28.43301373441088,150.82601109559505,,,,0.0,3,12,9,,2.63
144,Northern Basin,2018,0.32380631085880496,-0.4543391325700653,0.21247040912902757,-0.14308095519851718,3023,-32.42925899632445,148.72285442054581,,,,0.19821086838124638,3,23,35,,6.57
156,Southern Basin,2018,0.17862061801927986,-0.4476286315263605,0.11320029276678967,-0.19712893170810433,3023,-31.466283433598885,142.14140205735274,,,,0.0054861550959711385,6,18,1,,10.93
195,Northern Basin,2018,0.1869237727348168,-0.30013830229221183,0.11306956626753933,-0.10531347228140038,3023,-29.661202147127437,149.29250072910062,,,,0.06336247903835618,3,17,2,,5.66
171,Northern Basin,2018,0.13485445371235097,-0.26554915430985077,0.09022800624005423,-0.10538771110097006,3023,-30.56509481523497,148.04454608893246,,,,0.0,5,19,4,,8.13
148,Southern Basin,2018,0.15351176346171805,-0.3191453694344893,0.12138410045961995,-0.13008251627600634,3023,-32.4001877202304,142.77266641205472,,,,0.0,3,26,10,,4.15
0,Wimmera Disconnected,2018,0.22437213686738766,-0.35784965743802755,0.14152865129190206,-0.12496093971586145,3023,-36.62095585308534,141.96907209182834,,,,0.0777653853162534,27,21,23,,13.67
223,Northern Basin,2018,0.18056874452945168,-0.48417229890834645,0.10365364212364146,-0.2182758815332272,3023,-28.562862013466624,144.90429315457564,,,,0.0,7,21,11,,6.54
244,Northern Basin,2018,0.20427667290614573,-0.30247367214661186,0.1302270928297681,-0.09977353412550881,3023,-28.442201171454315,149.6458339966445,,,,0.0,3,17,17,,2.92
217,Northern Basin,2018,0.20274107910026484,-0.3135934997803754,0.12284981462521637,-0.10705966822811927,3023,-28.532347771003145,148.15980508371558,,,,0.19405314279213745,57,12,9,,25.02
3,Southern Basin,2018,0.3413769432514955,-0.4571034400482641,0.18639909553548129,-0.13771128672836022,3023,-36.563737922007206,143.89718194151683,,,,1.704692894294134,21,24,29,,18.27
235,Northern Basin,2018,0.15398822555860586,-0.3192083711737916,0.10306117190884055,-0.1299297324808326,3023,-28.481284407860308,145.70041006022493,,,,0.0010474145106780023,16,6,11,,14.77
251,Northern Basin,2018,0.3903193631795268,-0.4717410154086399,0.2181642458831398,-0.1269168639733732,3023,-26.556907824226503,150.76971428682003,,,,0.059688233115327435,58,18,14,,36.1
68,Southern Basin,2018,0.260281519991696,-0.4336620874514746,0.14780382552066235,-0.15608464447420634,3023,-34.523644955185695,143.3093523179765,,,,8.877799615849534E-4,24,10,7,,17.32
132,Lachlan Disconnected,2018,0.2549642973400036,-0.5060536448553613,0.13954671811247515,-0.2016464679772153,3023,-32.4809711729911,145.02231932200547,,,,7.376699903274363E-4,46,13,14,,51.68
126,Southern Basin,2018,0.17246306271102818,-0.4378406989915164,0.10348151082132633,-0.19371919431049855,3023,-32.57809874720707,143.5205809739376,,,,0.0,6,8,1,,6.22
131,Southern Basin,2018,0.20253583838875439,-0.45657361919785916,0.11313631733992273,-0.1929298361632137,3023,-32.528380010514525,144.12960878738338,,,,0.0032154247992991943,29,13,10,,27.22
175,Northern Basin,2018,0.35510844236841677,-0.45575114990010696,0.20193277636085558,-0.13140731299269745,3023,-30.516326464976316,150.7117575052784,,,,0.0022919707624075893,11,14,9,,16.47
236,Northern Basin,2018,0.22725194516524078,-0.3818774397322185,0.1470721209203964,-0.13822568577323477,3023,-28.489022738173585,150.68155538347472,,,,0.16419171249922487,5,16,8,,6.51
135,Lachlan Disconnected,2018,0.28530119893571587,-0.5011375254505721,0.14932757515983164,-0.1865620356960569,3023,-32.49154606078219,145.83126214415515,,,,0.02605304980638836,47,18,22,,53.07
263,Northern Basin,2018,0.36070039472111654,-0.4522034682353676,0.21793193864060206,-0.12704192305277395,3023,-26.48941373009237,151.03548931374993,,,,0.06148874436658769,12,19,17,,11.65
177,Northern Basin,2018,0.14384444331500124,-0.42195148223518775,0.09628744973858412,-0.19563311201511216,3023,-30.515167794278632,144.11275999053015,,,,0.0,6,8,5,,4.13
153,Northern Basin,2018,0.2361457358074501,-0.402397362025347,0.14799427696409542,-0.14698012289222812,3023,-32.26088227595549,148.1353112656326,,,,0.042016221353499854,8,14,1,,13.98
227,Northern Basin,2018,0.13879051140285617,-0.32287620078555174,0.09951766769069975,-0.13820951591018857,3023,-28.465112356591725,146.1008575930393,,,,5.801228877725633E-4,23,17,25,,24.0
191,Northern Basin,2018,0.1395319830966722,-0.2741749671202911,0.10427068007516099,-0.10869218703350578,3023,-30.070464145427998,145.9825997223511,,,,0.0,3,18,1,,6.06
71,Southern Basin,2018,0.2891275614659115,-0.44534361665654565,0.1500362483362758,-0.15155514540756276,3023,-34.48368429525622,146.5327586159696,,,,0.28784419894895436,7,9,5,,12.56
89,Lachlan Disconnected,2018,0.29473427099646576,-0.39571745942573067,0.19822612555284852,-0.11953676725685208,3023,-34.16935429235431,144.36270093380094,,,,0.0,3,11,1,,1.42
83,Southern Basin,2018,0.29251828793720663,-0.42736431341189296,0.18197285752506995,-0.13941127287225308,3023,-34.22287404873925,146.15159903937297,,,,0.31053621903809825,3,14,1,,4.41
2,Wimmera Disconnected,2018,0.1697987664718252,-0.3287640017859326,0.11338514094748121,-0.12933889448282948,3023,-36.59290538459189,142.6424076407675,,,,0.30012907420979373,10,17,13,,18.24
