Program,SamplePoint,Description,Latitude,Longitude,SampleDate,sampleDateStart,sampleDateEnd,evaluationCode,speciesCode,speciesName,vegCommunity,abundance,breedEvidence,prop_surveyed,Comments,survey_date,year,month,water_year
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-18 8:15,2016-10-18 8:15,2016-10-18 9:00,E3,205.0,Dendrocygna (leptotarsis),Black box woodland,5,False,0.32,,2016-10-18 08:15:00,2016,10,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-18 8:15,2016-10-18 8:15,2016-10-18 9:00,E3,59.0,Fulica atra,Black box woodland,7,False,0.32,,2016-10-18 08:15:00,2016,10,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-18 8:15,2016-10-18 8:15,2016-10-18 9:00,E3,213.0,Malacorhynchus membranaceus,Black box woodland,6,False,0.32,,2016-10-18 08:15:00,2016,10,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-10-18 8:15,2016-10-18 8:15,2016-10-18 9:00,E3,192.0,Nycticorax caledonicus,Black box woodland,3,False,0.32,,2016-10-18 08:15:00,2016,10,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,211.0,Anas (nettion),Black box woodland,40,False,0.32,at the veg transect points,2016-12-10 17:20:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,189.0,Ardea (ardea),Black box woodland,12,False,0.32,at the veg transect points,2016-12-10 17:20:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,59.0,Fulica atra,Black box woodland,3,False,0.32,at the veg transect points,2016-12-10 17:20:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,56.0,Gallinula (gallinula),Black box woodland,1,False,0.32,at the veg transect points,2016-12-10 17:20:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,146.0,Himantopus himantopus,Black box woodland,30,False,0.32,at the veg transect points,2016-12-10 17:20:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,213.0,Malacorhynchus membranaceus,Black box woodland,29,True,0.32,"1 x 3, 1 x 4 + at the veg transect points",2016-12-10 17:20:00,2016,12,2017
Murrumbidgee River,Avalon Swamp,Murrumbidgee River>,-34.581153,143.917384,2016-12-10 17:20,2016-12-10 17:20,2016-12-10 18:00,E3,181.0,Platalea (platalea),Black box woodland,2,False,0.32,at the veg transect points,2016-12-10 17:20:00,2016,12,2017
